name,team,batting_style,bowling_style,player_role
Jan Frylinck,Namibia,Left hand Bat,Left arm Fast medium,Allrounder
Michael van Lingen,Namibia,Left hand Bat,Left arm Medium,Bowling Allrounder
Divan la Cock,Namibia,Right hand Bat,Legbreak,Opening Batter
Jan Nicol Loftie-Eaton,Namibia,Left hand Bat,"Right arm Medium, Legbreak",Batter
Stephan Baard,Namibia,Right hand Bat,Right arm Medium fast,Batter
Gerhard Erasmus,Namibia,Right hand Bat,Right arm Offbreak,Allrounder
David Wiese,Namibia,Right hand Bat,Right arm Medium fast,Allrounder
JJ Smit,Namibia,Right hand Bat,Left arm Medium fast,Bowling Allrounder
Zane Green,Namibia,Left hand Bat,Wicketkeeper,Wicketkeeper Batter
Bernard Scholtz,NRP Scholtz,Right hand Bat,Slow Left arm Orthodox,Bowler
Ben Shikongo,Namibia,Right hand Bat,Right arm Medium fast,Bowler
Maheesh Theekshana,Sri Lanka,Right hand Bat,Right arm Offbreak,Bowler
Dushmantha Chameera,Sri Lanka,Right hand Bat,Right arm Fast,Bowler
Pramod Madushan,Sri Lanka,Right hand Bat,Right arm Medium fast,Bowler
Chamika Karunaratne,Sri Lanka,Right hand Bat,Right arm Medium fast,Bowling Allrounder
Wanindu Hasaranga de Silva,PC de Silva,Right hand Bat,Legbreak,Allrounder
Pathum Nissanka,Sri Lanka,Right hand Bat,Top order Batter,"Isipathana College, Colombo"
Kusal Mendis,BOL Mendis,Right hand Bat,Legbreak,Wicketkeeper
Dhananjaya de Silva,Sri Lanka,Right hand Bat,Right arm Offbreak,Allrounder
Danushka Gunathilaka,Sri Lanka,Dana,Left hand Bat,Right arm Offbreak
Bhanuka Rajapaksa,SSB Rajapaksa,Left hand Bat,Right arm Medium,Top order Batter
Dasun Shanaka,Sri Lanka,Right hand Bat,Right arm Medium,Allrounder
,,,,
Rod Tucker,DC Tucker,Left hand Bat,Right arm Medium,Umpire
Paul Reiffel,Australia,Pistol,Right hand Bat,Right arm Fast medium
